date,credit,debit,balance
2026-01-01,50000,401,69599
2026-01-02,0,236,69363
2026-01-03,0,796,68567
2026-01-04,0,653,67914
2026-01-05,0,12480,55434
2026-01-06,0,628,54806
2026-01-07,0,510,54296
2026-01-08,0,544,53752
2026-01-09,0,459,53293
2026-01-10,0,6680,46613
2026-01-11,0,628,45985
2026-01-12,0,1985,44000
2026-01-13,0,794,43206
2026-01-14,0,722,42484
2026-01-15,5000,546,46938
2026-01-16,0,723,46215
2026-01-17,0,871,45344
2026-01-18,0,803,44541
2026-01-19,0,451,44090
2026-01-20,0,4152,39938
2026-01-21,0,426,39512
2026-01-22,0,737,38775
2026-01-23,0,628,38147
2026-01-24,0,578,37569
2026-01-25,0,1173,36396
2026-01-26,0,644,35752
2026-01-27,0,669,35083
2026-01-28,0,517,34566
2026-01-29,0,563,34003
2026-01-30,0,437,33566
2026-01-31,0,550,33016
2026-02-01,50000,485,82531
2026-02-02,0,714,81817
2026-02-03,0,559,81258
2026-02-04,0,545,80713
2026-02-05,0,12415,68298
2026-02-06,0,433,67865
2026-02-07,0,768,67097
2026-02-08,0,602,66495
2026-02-09,0,493,66002
2026-02-10,0,6412,59590
2026-02-11,0,425,59165
2026-02-12,0,590,58575
2026-02-13,0,335,58240
2026-02-14,0,671,57569
2026-02-15,4500,802,61267
2026-02-16,0,226,61041
2026-02-17,0,328,60713
2026-02-18,0,825,59888
2026-02-19,0,558,59330
2026-02-20,0,3863,55467
2026-02-21,0,696,54771
2026-02-22,0,646,54125
2026-02-23,0,550,53575
2026-02-24,0,2098,51477
2026-02-25,0,692,50785
2026-02-26,0,177,50608
2026-02-27,0,428,50180
2026-02-28,0,950,49230
2026-03-01,51000,815,99415
2026-03-02,0,589,98826
2026-03-03,0,451,98375
2026-03-04,0,676,97699
2026-03-05,0,12729,84970
2026-03-06,0,764,84206
2026-03-07,0,541,83665
2026-03-08,0,535,83130
2026-03-09,0,300,82830
2026-03-10,0,6836,75994
2026-03-11,0,789,75205
2026-03-12,0,151,75054
2026-03-13,0,307,74747
2026-03-14,0,733,74014
2026-03-15,6000,933,79081
2026-03-16,0,603,78478
2026-03-17,0,549,77929
2026-03-18,0,484,77445
2026-03-19,0,392,77053
2026-03-20,0,3806,73247
2026-03-21,0,362,72885
2026-03-22,0,3011,69874
2026-03-23,0,661,69213
2026-03-24,0,920,68293
2026-03-25,0,638,67655
2026-03-26,0,388,67267
2026-03-27,0,573,66694
2026-03-28,0,599,66095
2026-03-29,0,571,65524
2026-03-30,0,734,64790
2026-03-31,0,527,64263
2026-04-01,51000,690,114573
2026-04-02,0,680,113893
2026-04-03,0,633,113260
2026-04-04,0,813,112447
2026-04-05,0,12638,99809
2026-04-06,0,537,99272
2026-04-07,0,637,98635
2026-04-08,0,551,98084
2026-04-09,0,301,97783
2026-04-10,0,6531,91252
2026-04-11,0,617,90635
2026-04-12,0,1762,88873
2026-04-13,0,556,88317
2026-04-14,0,558,87759
2026-04-15,5000,443,92316
2026-04-16,0,615,91701
2026-04-17,0,449,91252
2026-04-18,0,830,90422
2026-04-19,0,1709,88713
2026-04-20,0,3927,84786
2026-04-21,0,355,84431
2026-04-22,0,428,84003
2026-04-23,0,439,83564
2026-04-24,0,492,83072
2026-04-25,0,592,82480
2026-04-26,0,1671,80809
2026-04-27,0,763,80046
2026-04-28,0,742,79304
2026-04-29,0,337,78967
2026-04-30,0,634,78333
2026-05-01,52000,839,129494
2026-05-02,0,847,128647
2026-05-03,0,532,128115
2026-05-04,0,625,127490
2026-05-05,0,12820,114670
2026-05-06,0,574,114096
2026-05-07,0,3504,110592
2026-05-08,0,546,110046
2026-05-09,0,825,109221
2026-05-10,0,7400,101821
2026-05-11,0,3303,98518
2026-05-12,0,255,98263
2026-05-13,0,619,97644
2026-05-14,0,417,97227
2026-05-15,6500,330,103397
2026-05-16,0,705,102692
2026-05-17,0,929,101763
2026-05-18,0,590,101173
2026-05-19,0,446,100727
2026-05-20,0,4164,96563
2026-05-21,0,691,95872
2026-05-22,0,525,95347
2026-05-23,0,488,94859
2026-05-24,0,3047,91812
2026-05-25,0,338,91474
2026-05-26,0,422,91052
2026-05-27,0,381,90671
2026-05-28,0,418,90253
2026-05-29,0,502,89751
2026-05-30,0,1144,88607
2026-05-31,0,740,87867
2026-06-01,53000,425,140442
2026-06-02,0,683,139759
2026-06-03,0,530,139229
2026-06-04,0,503,138726
2026-06-05,0,12922,125804
2026-06-06,0,659,125145
2026-06-07,0,561,124584
2026-06-08,0,550,124034
2026-06-09,0,384,123650
2026-06-10,0,7151,116499
2026-06-11,0,407,116092
2026-06-12,0,563,115529
2026-06-13,0,650,114879
2026-06-14,0,537,114342
2026-06-15,6000,436,119906
2026-06-16,0,442,119464
2026-06-17,0,577,118887
2026-06-18,0,333,118554
2026-06-19,0,619,117935
2026-06-20,0,4602,113333
2026-06-21,0,640,112693
2026-06-22,0,587,112106
2026-06-23,0,471,111635
2026-06-24,0,645,110990
2026-06-25,0,175,110815
2026-06-26,0,358,110457
2026-06-27,0,954,109503
2026-06-28,0,836,108667
2026-06-29,0,355,108312
2026-06-30,0,556,107756
